fecha,precio,precio_pronostico
20180123,92.598584,146.19085388343956
20191109,274.368371,191.82700617758383
20200617,262.4,231.32350499542372
20191012,339.855034,191.4240654555324
20170808,76.781991,107.49608248165168
20190213,225.345413,188.10499703363166
20200410,216.99,230.46362118649995
20180812,75.705136,149.05297921846795
20180502,86.926076,147.765230519115
20170225,163.069547,105.07428412124864
20180716,72.069476,148.6541925244819
20170616,66.509061,106.69850909366505
20200903,179.52,232.51155702129472
20200626,262.91,231.3608912479831
20201025,177.41,233.01834844490804
20181011,89.665771,149.87963080289774
20200413,229.47,230.47608327068156
20190101,318.423099,187.63974589062855
20180904,72.264769,149.43514980022155
20171029,136.758607,108.41412268346176
20200708,191.74,231.70152154911193
20180601,71.612619,148.1764792972972
20191122,138.20062,191.88100854240474
20200501,237.41,230.8416377401736
20180316,176.228715,146.99258129949158
20190327,168.015717,188.578556232751
20180103,152.239873,146.10777332219004
20171229,147.216608,109.24492829595692
20201006,136.8,232.9394219117239
20200128,379.83,229.2921852728905
20201219,200.25,233.82422988902545
20181222,236.84255,150.75613072408305
20180921,117.417767,149.5057682772749
20200304,417.68,230.0232942118746
20210426,201.89,272.0703662600572
20201109,218.92,233.3672868021531
20180611,69.307014,148.21801957792195
20190824,114.138141,190.64310817979276
20200210,383.15,229.63281557400478
20191223,290.039382,192.30056537670316
20210303,213.86,271.5594208083785
20170628,70.364298,106.74835743042058
20180302,142.848379,146.93442490661982
20180718,68.776294,148.66250058059813
20170317,103.951622,105.45645470298768
20190627,140.779594,189.8247646514792
20170405,103.901355,105.82200917249429
20200625,286.7,231.3567372199177
20200425,204.48,230.5259316074371
20210125,252.57,270.8200038132636
20200703,169.23,231.68075140879955
20181230,353.925856,150.78936294857704
20200915,145.27,232.5614053580357
20170212,143.917036,105.02028175642772
20180503,84.828143,147.76938454718038
20200104,134.34,229.19248859937943
20180914,72.848909,149.4766900808463
20170617,65.859508,106.70266312173044
20200404,217.14,230.43869701812218
20200802,132.31,232.09200018698175
20191030,200.866995,191.49883796065114
20170506,80.820829,106.24156600679271
20200327,288.16,230.11883685730572
20180331,147.125277,147.0548917204287
20191112,314.967017,191.83946826177998
20190918,360.346163,191.03358681766258
20180612,69.09549,148.22217360598734
20171107,140.303969,108.73813687232905
20180316,202.928715,146.99258129949158
20200914,95.08,232.5572513299703
20180430,67.688436,147.4661404986109
20210107,169.38,270.74523130814487
20190715,84.252222,190.1903191209858
20180912,121.477615,149.46838202471554
20180711,173.511943,148.63342238416953
20200116,349.59,229.24233693613496
20180613,70.107562,148.22632763403817
20190311,202.188319,188.51209178374847
20190323,253.041953,188.561940120504
20200814,180.23,232.14184852372273
20181111,85.30724,150.29503360914532
20180604,70.704951,148.1889413814788
20190807,123.769469,190.57248970272485
20170710,81.614404,107.08898773153487
20200402,179.11,230.4303889619914
20191016,252.869741,191.4406815677794
20200809,175.58,232.12107838341035
20180421,72.942307,147.42875424605154
20200208,404.23,229.624507517874
20210303,181.86,271.5594208083785
20171005,133.936542,108.31442600996525
20191226,245.448436,192.31302746089932
20210221,252.51,271.2187905072642
20201219,232.25,233.82422988902545
20210208,289.76,271.1647881424433
20200220,605.97,229.67435585462954
20181027,131.67932,149.94609525190026
20170612,65.88974,106.68189298141806
20170619,67.547497,106.71097117784666
20181117,100.597717,150.3199577775231
20191115,207.775625,191.8519303459616
20201004,133.46,232.93111385559314
20170420,112.937545,105.88431959343143
20170509,68.067952,106.25402809098887
20171117,151.099878,108.77967715295381
20200701,205.17,231.67244335266878
20210304,202.78,271.5635748364439
20171010,131.440016,108.33519615027762
20170814,155.303543,107.52100665002945
20190327,260.015717,188.578556232751
20171228,167.468686,109.24077426789154
20180214,145.666605,146.56887043712777
20170923,117.610427,107.9737957088364
20180512,68.34859,147.80677079973975
20190515,139.151209,189.35951350849064
20170801,153.700374,107.46700428522308
20180502,86.926076,147.765230519115
20170813,66.818963,107.51685262196406
20180324,141.762995,147.0258135240001
20210326,144.93,271.6549634538096
20190816,157.710813,190.60987595528422
20200503,296.71,230.84994579630438
20210424,177.84,272.062058203941
20171104,143.904845,108.72567478814744
20170615,68.804865,106.69435506559967
20170122,76.247259,104.64641923081945
20200122,391.06,229.26726110451273
20180817,86.374807,149.07374935878033
20200907,163.77,232.5281731335417
20171102,108.232182,108.71736673201667
20181005,174.051876,149.85470663453452
20201106,204.2,233.3548247179715
20190524,71.656846,189.39689976105
20181015,91.785922,149.89624691515928
20181031,176.166572,149.96271136414725
20170817,79.093832,107.53346873422561
20180508,139.044305,147.79015468749276
20201222,201.69,233.83669197320705
20171125,107.509925,108.81290937746235
20170719,64.520452,107.12637398409424
20210130,218.18,270.840773953576
20201231,153.28,233.87407822576643
20171025,189.151911,108.39750657121476
20201116,135.76,233.39636499859625
20180623,72.651955,148.26786791466293
20190330,202.783083,188.5910183169326
20180427,71.671081,147.4536784144293
20210228,229.79,271.2478687036928
20170127,194.574624,104.66718937113183
20181119,111.477456,150.32826583365386
20170916,109.696907,107.9447175124078
20191010,351.578139,191.41575739940163
20180830,71.371942,149.12775172360125
20190325,242.096172,188.57024817662023
20180206,146.681753,146.53563821261923
20170729,73.602497,107.167914264719
20191028,203.862202,191.49052990453492
20200315,313.08,230.06898852056474
20170408,99.413632,105.8344712566759
20210312,128.09,271.59680706093786
20200226,476.04,229.6992800230073
20190109,360.917968,187.67297811513708
20200122,394.06,229.26726110451273
20170329,147.554184,105.50630303974322
20180909,70.622178,149.45591994053393
20201103,154.66,233.34236263377534
20170823,101.777734,107.55839290258882
